id,date,day_offset,title,format,dependency,owner,status,asset_path,live_url,results
13,2026-09-14,-23,Find robotics channels,Research shortlist,Verify activity and rules,Unassigned,Draft,,,
M01,2026-09-14,-23,Review and build motion kit,Intro outro transition,Inspect owl animation,Unassigned,Draft,,,
2,2026-09-16,-21,Calling sponsors,Post + outreach drafts,Offer and contact route,Unassigned,Draft,,,
1,2026-09-18,-19,Calling robotics builders,Reel + caption,Confirmed signup,Unassigned,Draft,,,
M02,2026-09-18,-19,Episode 01 manifesto,60-second recap,Recording selects,Unassigned,Draft,,,
R01,2026-09-18,-19,Recap: who we are,Reel,Recording selects,Unassigned,Draft,,,
3,2026-09-19,-18,Who we are: abstract teaser,30-second film,Motion kit,Unassigned,Draft,,,
4,2026-09-19,-18,Event announcement,20-second reel,Episode 02 signup and venue,Unassigned,Draft,,,
9,2026-09-19,-18,Signup and logistics,Luma + story,Exact venue and booking,Unassigned,Draft,,,
R02,2026-09-21,-16,Recap: why join,Reel/story,Actual answers,Unassigned,Draft,,,
R03,2026-09-22,-15,Recap: what you get,Reel/story,Actual answers,Unassigned,Draft,,,
5,2026-09-23,-14,Speaker reveal,Reel,Confirmed speaker,Unassigned,Draft,,,
6,2026-09-24,-13,Expression and gesture,Topic reel,Confirmed session,Unassigned,Draft,,,
R04,2026-09-24,-13,Mo POV,Reel/story,Verified excerpt,Unassigned,Draft,,,
7,2026-09-25,-12,Fabric strength physics,Topic reel,Confirmed session,Unassigned,Draft,,,
R05,2026-09-26,-11,Ian POV,Reel/story,Verified excerpt,Unassigned,Draft,,,
8,2026-09-27,-10,Computing power tools SDKs,Topic reel,Confirmed session,Unassigned,Draft,,,
R06,2026-09-29,-8,Yiguan POV,Reel/story,Verified excerpt,Unassigned,Draft,,,
14,2026-09-30,-7,Seven-day countdown,Reel/story,Current booking status,Unassigned,Draft,,,
10,2026-10-01,-6,Sponsor reveal,Story/post,Agreement and brand assets,Unassigned,Draft,,,
11,2026-10-02,-5,Hiring reveal,Story/post,Verified roles and participation,Unassigned,Draft,,,
12,2026-10-03,-4,Who else is attending,Story,Consent or safe aggregate,Unassigned,Draft,,,
15,2026-10-04,-3,Three-day countdown,Story + community copy,Logistics check,Unassigned,Draft,,,
16,2026-10-06,-1,24-hour countdown,Story at 18:00 BST,Confirmed start,Unassigned,Draft,,,
17,2026-10-07,0,Event launch today,Practical post,Arrival details,Unassigned,Draft,,,
18,2026-10-07,0,Live moments,Stories,Capture and consent,Unassigned,Draft,,,
19,2026-10-07,0,Finishing post,Story after finish,Event complete,Unassigned,Draft,,,
20,2026-10-08,1,Thanks,Post,Confirmed credits,Unassigned,Draft,,,
21,2026-10-10,3,Recap,Reel,Edited footage,Unassigned,Draft,,,
22,2026-10-12,5,Testimonial,Quote + clip,Exact approved quote,Unassigned,Draft,,,
23,2026-10-14,7,Member interview,Reel,Interview and permission,Unassigned,Draft,,,
24,2026-10-17,10,YouTube release,Full episode,Edited video and account,Unassigned,Draft,,,
25,2026-10-19,12,Spotify release,Audio episode,Audio edit and account,Unassigned,Draft,,,
26,2026-10-21,14,Speaker cuts,Clip series,Reviewed talk excerpts,Unassigned,Draft,,,
27,2026-10-28,21,Feedback calls,Invitations and calls,Authorised recipient list,Unassigned,Draft,,,
